country,year,population
NGA,2015,190671878
NGA,2016,195443700
NGA,2017,200254579
NGA,2018,204938755
NGA,2019,209485641
NGA,2020,213996181
NGA,2021,218529286
NGA,2022,223150896
NGA,2023,227882945
NGA,2024,232679478
