"","Aridity_2020","Elevation","Enhanced_Vegetation_Index_2020","Precipitation_2020","Rainfall_2020","Mean_Temperature_2020","Malaria_Incidence_2020","Malaria_Prevalence_2020"
"318",51.64751434,71.58204651,0.244152114,166.4915009,1537.27002,27.26640701,0.168819591,0.126380503
"319",51.75005341,28.06640816,0.254335314,166.5105896,1609.985474,27.27861786,0.179767728,0.137099102
"320",50.31583405,116.4912186,0.308208585,163.8758698,1462.30127,27.22282982,0.225769103,0.185566962
"321",53.00592041,235.0263519,0.377932757,170.4901123,1688.891479,27.20089722,0.336674452,0.325816572
"322",47.01989746,33.166996,0.284495026,156.9445648,1436.947754,27.18972778,0.260093898,0.226416215
"323",51.7121048,247.5995789,0.373869121,167.7411499,1705.53064,27.20130157,0.334513813,0.324262798
"324",49.71598053,99.19139862,0.346928656,163.6484375,1496.692749,27.17682266,0.183943942,0.139869452
"325",50.07435989,148.5751953,0.337402195,163.7848969,1462.489136,27.20442772,0.231420219,0.192040846
"326",51.03995514,100.7080154,0.210329175,165.2064209,1462.377197,27.24921989,0.150920808,0.108345427
"327",51.98466492,172.0459137,0.328965664,167.7588501,1628.037354,27.24244881,0.257659703,0.224571109
"328",52.63299942,163.1455231,0.291881859,169.0835114,1630.814819,27.25512123,0.226301566,0.188982978
"329",53.64142227,20.95898438,0.299893588,170.3790436,1703.086548,27.34697723,0.263753712,0.233848602
"330",51.15236664,34.02344131,0.170761883,165.2387238,1496.465454,27.25992584,0.149293095,0.106503211
"331",52.23035812,128.7577972,0.418415487,169.1199646,1730.995361,27.17902184,0.350427866,0.344317943
"332",53.88752747,122.0292892,0.370270699,171.7664948,1670.282837,27.26223946,0.32296598,0.311816871
"333",48.61454773,54.28124619,0.292760283,164.2084351,1710.817383,27.13883209,0.338858038,0.310316771
"334",51.55500793,57.89160538,0.337190539,171.1585999,1749.595947,27.30208397,0.367560148,0.346636087
"335",57.57902908,40.24511337,0.381845385,181.9412384,1791.976685,27.08263969,0.442894906,0.455594569
"336",49.39619827,56.93944931,0.292934537,166.6285553,1629.138794,27.25277901,0.323255032,0.288517058
"337",51.7840538,76.26757813,0.31648317,171.0454559,1805.779053,27.1194458,0.354445636,0.330311239
"338",54.1570816,33.78222656,0.336410552,175.0773468,1912.388672,26.91736221,0.350608349,0.325223655
"339",46.12919235,73.64063263,0.364575952,160.0086365,1621.293823,27.41024399,0.327860266,0.293237716
"340",43.28128815,76.44237518,0.325496107,152.3317261,1570.858887,27.26232719,0.401208222,0.401241153
"341",45.61718369,79.4765625,0.310264558,157.4604645,1643.86084,27.17239571,0.370313823,0.355377614
"342",53.60674667,55.97070313,0.365255237,173.928772,1762.844849,27.24466133,0.366550863,0.345614433
"343",46.07580185,106.9374924,0.315235555,159.1595001,1577.430176,27.28454971,0.367481798,0.348627359
"344",50.24266052,76.53515625,0.324781746,168.5651398,1722.747925,27.30000114,0.368239492,0.347759634
"345",52.25523376,48.94628906,0.333002269,171.0550079,1758.332275,26.93680573,0.402032167,0.405380517
"346",50.38792801,205.782196,0.409491748,167.3634491,1749.6604,27.25421143,0.294223994,0.260670573
"347",44.14879227,180.9013672,0.223542199,153.922287,1507.075928,27.26694107,0.177375361,0.128247738
"348",36.94560623,330.1621094,0.423735887,134.5516052,1255.467163,27.24587631,0.262296766,0.217055902
"349",41.36415863,106.7353516,0.358842343,148.5333557,1502.181885,27.46278954,0.349300146,0.330827177
"350",39.28262711,439.9345703,0.338993669,140.8292389,1322.666138,27.12709808,0.169445708,0.119146109
"351",50.27760315,65.05371094,0.351493627,167.9484253,1686.123291,27.31749153,0.37610659,0.367796332
"352",42.2239418,178.5244141,0.37617591,149.4789886,1490.910034,27.28337669,0.278057098,0.236991599
"353",41.36362076,443.4228821,0.379270911,146.1963501,1476.51062,27.08806419,0.227686331,0.178623646
"354",45.80511475,97.84277344,0.404294163,158.8063049,1614.950562,27.3884697,0.301254928,0.267292142
"355",39.21505737,458.796875,0.360602319,140.8899689,1338.529297,27.16271782,0.236040354,0.188428789
"356",39.08079529,331.5204773,0.399911195,141.0114441,1295.805786,27.23395538,0.23862958,0.191344127
"357",47.71185303,186.920929,0.343221933,160.7810822,1603.734009,27.16653633,0.212457195,0.167111188
"358",38.7494545,395.3496094,0.359100014,139.6376343,1309.935913,27.18155479,0.260297388,0.216242075
"359",38.33897781,318.5683594,0.38177073,138.3181915,1272.962769,27.17461014,0.207551882,0.156689137
"360",38.7494545,395.3496094,0.359100014,139.6376343,1309.935913,27.18155479,0.260297388,0.216242075
"361",55.1113472,199.4785309,0.379142225,175.5605774,1929.262939,27.17061615,0.386116296,0.374281615
"362",55.9131279,159.3750153,0.384584725,177.0242615,1972.269897,27.16723061,0.367177159,0.348108947
"363",62.60552216,109.8994141,0.40305081,187.7540741,2147.126953,27.07298851,0.496821791,0.592161834
"364",57.3717804,97.12988281,0.436991811,179.4337311,2067.419678,27.15229988,0.483344227,0.547122002
"365",54.32159805,138.9589691,0.425204277,173.3387146,1821.462769,27.17473984,0.414506257,0.424563795
"366",59.7977562,144.7158203,0.391360581,183.0216217,2042.236572,27.14648438,0.485103428,0.560086668
"367",58.49761581,179.1279297,0.3761473,180.7789612,2077.736084,27.18956947,0.477820247,0.542671263
"368",59.04422379,135.2490234,0.364095986,181.4226074,2049.099609,27.25478935,0.431925654,0.45900175
"369",63.91545486,89.34668732,0.381654322,189.5992126,2057.279297,27.06740379,0.487346828,0.573590934
"370",59.97140884,161.8115082,0.364738971,183.7951813,2063.981201,27.11236954,0.480889052,0.545393646
"371",60.50976181,34.09375381,0.363203585,183.4359741,2169.545898,27.37449455,0.246597007,0.206114918
"372",56.57975006,101.9365234,0.445844799,177.8414764,1971.93335,27.15221405,0.467229903,0.513923407
"373",58.96260452,69.24707031,0.415693134,181.0182648,1982.492432,27.32918167,0.378790677,0.376427829
"374",57.83589554,73.29688263,0.378368258,179.0653687,1938.02124,27.34822083,0.36258474,0.353963196
"375",62.1954155,69.50878906,0.412000984,186.6780396,2126.939941,27.18354988,0.427354068,0.453669041
"376",62.11268997,65.25585938,0.39340359,186.4836578,2084.204346,27.20805931,0.372316837,0.366973907
"377",71.45724487,19.14258003,0.375376374,208.0447998,2679.998535,27.16770935,0.319620758,0.331735194
"378",66.80941772,85.99414063,0.36375016,198.1645355,2133.662109,27.04704857,0.411402911,0.48646304
"379",67.89686584,65.73925781,0.364982903,199.9362488,2176.898438,27.09843826,0.442558646,0.574238718
"380",71.45724487,19.14258003,0.375376374,208.0447998,2679.998535,27.16770935,0.319620758,0.331735194
